birth_rate,country,gdp,health_exp_percent_gdp,health_exp_per_capita,infant_mortality_rate,internet_usage,life_expectancy_female,life_expectancy_male,mobile_phone_usage,no_of_records,population_0_to_14,population_15_to_64,population_65_plus,population_total,population_urban,region,tourism_inbound,tourism_outbound,year,header,personal,business,total,africa,americas,east_asia_and_pacific,europe,middle_east,south_asia,others
0.012,singapore,95835970989,0.027,662,0.003,0.4,80,76,0.7,1,0.215,0.712,0.073,4027900,1,Asia,5142000000,4535000000,2000,Data,5976,1715,7691,92,483,5347,1139,71,516,43
0.009,slovenia,19979467790,0.083,831,0.005,0.2,79,72,0.6,1,0.159,0.7,0.141,1988925,0.508,Europe,1016000000,544000000,2000,Data,899,191,1090,0,30,12,1038,0,0,10
0.036,solomon islands,435101217,0.046,48,0.028,0,64,62,0,1,0.419,0.553,0.028,412336,0.158,Oceania,4000000,12200000,2000,Data,2.7,2.5,5.2,0,0.5,4.2,0.5,0,0,0
0.024,south africa,1.33E+11,0.083,246,0.052,0.1,58,54,0.2,1,0.33,0.636,0.034,44000000,0.569,Africa,3338000000,2684000000,2000,Data,5243,629,5872,4234,248,192,1042,11,26,119
0.01,spain,5.80E+11,0.072,1045,0.005,0.1,83,76,0.6,1,0.148,0.684,0.169,40263216,0.763,Europe,32656000000,7710000000,2000,Data,41103,5300,46403,37,2452,321,42633,0,0,960
0.018,sri lanka,16330810304,0.037,32,0.014,0,75,68,0,1,0.269,0.669,0.063,19102000,0.184,Asia,388000000,383000000,2000,Data,381,19,400,1,18,58,268,4,52,0
0.04,sudan,12257299163,0.034,15,0.069,0,60,56,0,1,0.437,0.533,0.03,27729798,0.325,Africa,5000000,55000000,2000,Data,30,8,38,5,4,7,9,9,4,0
0.023,suriname,892164364,0.087,167,0.03,0,71,65,0.1,1,0.306,0.637,0.057,466668,0.664,The Americas,42000000,67000000,2000,Data,54,3,57,0,8,2,46,0,0,0
0.03,syrian arab republic,19325894913,0.049,59,0.02,0,75,72,0,1,0.408,0.558,0.034,16371208,0.519,Middle East,1082000000,669000000,2000,Data,2615,400,3015,66,38,26,398,2111,243,530
0.015,thailand,1.23E+11,0.034,67,0.019,0,75,67,0,1,0.242,0.693,0.066,62343379,0.314,Asia,9935000000,3218000000,2000,Data,8536,973,9509,80,585,6134,2242,117,349,70
0.015,trinidad and tobago,8154315708,0.04,260,0.025,0.1,72,65,0.1,1,0.256,0.679,0.065,1267980,0.108,The Americas,371000000,190000000,2000,Data,331,68,399,1,309,4,83,0,1,1
0.008,ukraine,31261527363,0.056,36,0.016,0,74,62,0,1,0.175,0.688,0.138,49175848,0.671,Europe,563000000,561000000,2000,Data,10267,1425,11692,15,71,27,6283,18,11,5
0.012,united kingdom,1.49E+12,0.07,1761,0.006,0.3,80,75,0.7,1,0.19,0.652,0.158,58892514,0.787,Europe,29978000000,47009000000,2000,Data,17201,8008,25209,618,5287,2256,16306,428,314,0
0.016,uruguay,22823255806,0.112,773,0.015,0.1,78,71,0.1,1,0.246,0.624,0.131,3320841,0.92,The Americas,827000000,381000000,2000,Data,2127,109,2236,0,1758,7,85,0,0,386
0.032,vanuatu,272014693,0.036,52,0.02,0,69,66,0,1,0.415,0.552,0.033,185058,0.217,Oceania,69000000,9000000,2000,Data,52,6,58,0,2,52,3,0,0,1
0.045,zambia,3253551750,0.056,18,0.1,0,42,42,0,1,0.457,0.515,0.027,10100981,0.348,Africa,67000000,102000000,2000,Data,256,201,457,294,27,28,105,0,2,0
0.05,angola,9129594819,0.034,22,0.128,0,47,44,0,1,0.476,0.499,0.025,13924930,0.324,Africa,34000000,146000000,2000,Data,46,5,51,8,8,3,31,0,1,0
0.013,australia,4.15E+11,0.081,1713,0.005,0.5,82,77,0.4,1,0.207,0.669,0.124,19153000,0.872,Oceania,13016000000,8780000000,2000,Data,4080,851,4931,79,621,2912,1212,35,60,13
0.015,azerbaijan,5272617196,0.047,30,0.061,0,70,64,0.1,1,0.311,0.633,0.056,8048600,0.514,Asia,68000000,138000000,2000,Data,75,606,681,0,0,0,359,0,242,79
0.021,bahrain,9063147901,0.035,476,0.011,0.1,76,74,0.3,1,0.308,0.667,0.024,668239,0.884,Middle East,854000000,425000000,2000,Data,3610,259,3869,32,121,107,216,3060,332,0
0.027,bangladesh,47124925462,0.028,10,0.064,0,66,65,0,1,0.37,0.59,0.041,132383265,0.236,Asia,50000000,471000000,2000,Data,159,40,199,2,15,38,46,4,94,0
0.013,barbados,3119500000,0.063,602,0.015,0,75,71,0.1,1,0.219,0.666,0.115,267190,0.338,The Americas,733000000,141000000,2000,Data,485,60,545,1,278,2,262,0,0,0
0.009,belarus,12736856485,0.061,64,0.011,0,75,63,0,1,0.186,0.679,0.134,10005000,0.7,Europe,188000000,247000000,2000,Data,1795,235,2030,0,3,1,56,0,0,0
0.011,belgium,2.33E+11,0.081,1845,0.005,0.3,81,75,0.5,1,0.176,0.655,0.169,10251250,0.971,Europe,6592000000,9429000000,2000,Data,3974,2483,6457,64,449,297,5550,20,23,54
0.029,belize,831750000,0.04,139,0.021,0.1,74,67,0.1,1,0.402,0.555,0.043,238586,0.477,The Americas,111000000,44000000,2000,Data,187,9,196,0,150,3,28,0,0,14
0.043,benin,2359122303,0.043,15,0.09,0,57,53,0,1,0.454,0.517,0.029,6949366,0.383,Africa,77000000,50000000,2000,Data,19,77,96,50.1,4.7,0.5,39.9,0.6,0.3,0
0.027,botswana,5788311645,0.047,152,0.054,0,52,49,0.1,1,0.383,0.587,0.029,1755375,0.532,Africa,227000000,209000000,2000,Data,961,143,1104,914,27,15,66,0,2,80
0.021,brazil,6.45E+11,0.072,265,0.029,0,74,67,0.1,1,0.296,0.649,0.055,174504898,0.812,The Americas,1969000000,4548000000,2000,Data,3833,1480,5313,35,3803,122,1320,11,0,22
