Personal,Business,Africa,Americas,East Asia and Pacific,Europe,Middle East,South Asia,Other not Classified,Birth Rate,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Personal Percentage,Business Percentage,Higher Tourism Percentage
21.0,37.0,0.0,7.0,43.0,5.0,0.0,3.0,0.0,0.035,3521348155.0,0.04,26.0,0.058,0.0,61.0,57.0,0.0,1.0,0.402,0.573,0.025,5379226.0,0.132,7000000.0,50000000.0,36.206896551724135,63.793103448275865,Business
257.0,31.0,0.0,286.0,0.0,0.0,0.0,0.0,3.0,0.028,8195993231.0,0.081,124.0,0.028,0.0,72.0,68.0,0.2,1.0,0.382,0.574,0.044,5350253.0,0.553,88000000.0,154000000.0,89.23611111111111,10.76388888888889,Personal
775.0,53.0,2.0,535.0,48.0,209.0,0.0,1.0,5.0,0.024,50681123109.0,0.047,96.0,0.03,0.0,73.0,68.0,0.0,1.0,0.341,0.611,0.048,26000080.0,0.73,861000000.0,641000000.0,93.59903381642512,6.40096618357488,Personal
1571.0,393.0,1.0,511.0,1022.0,252.0,15.0,24.0,167.0,0.03,81026294681.0,0.032,33.0,0.03,0.0,70.0,64.0,0.1,1.0,0.385,0.583,0.032,77651848.0,0.48,2334000000.0,1841000000.0,79.98981670061099,20.010183299389002,Business
12550.0,4850.0,9.0,330.0,88.0,84043.0,7.0,9.0,29.0,0.01,171276118424.0,0.055,247.0,0.008,0.1,78.0,70.0,0.2,1.0,0.194,0.684,0.123,38258629.0,0.617,6128000000.0,3417000000.0,72.12643678160919,27.873563218390807,Business
17951.0,3218.0,38.0,293.0,839.0,19269.0,33.0,45.0,652.0,0.009,259708496267.0,0.054,96.0,0.02,0.0,72.0,59.0,0.0,1.0,0.182,0.694,0.124,146596870.0,0.734,3429000000.0,8848000000.0,84.79852614672399,15.201473853276019,Business
9.9,5.8,4.8,2.5,1.9,5.7,0.9,0.0,0.0,0.044,635874002.0,0.184,28.0,0.141,0.0,39.0,37.0,0.0,1.0,0.43,0.546,0.025,4139757.0,0.356,10000000.0,35000000.0,63.05732484076434,36.94267515923567,Business
5976.0,1715.0,92.0,483.0,5347.0,1139.0,71.0,516.0,43.0,0.012,95835970989.0,0.027,662.0,0.003,0.4,80.0,76.0,0.7,1.0,0.215,0.712,0.073,4027900.0,1.0,5142000000.0,4535000000.0,77.70120920556495,22.298790794435053,Business
899.0,191.0,0.0,30.0,12.0,1038.0,0.0,0.0,10.0,0.009,19979467790.0,0.083,831.0,0.005,0.2,79.0,72.0,0.6,1.0,0.159,0.7,0.141,1988925.0,0.508,1016000000.0,544000000.0,82.47706422018348,17.522935779816514,Business
2.7,2.5,0.0,0.5,4.2,0.5,0.0,0.0,0.0,0.036,435101217.0,0.046,48.0,0.028,0.0,64.0,62.0,0.0,1.0,0.419,0.553,0.028,412336.0,0.158,4000000.0,12200000.0,51.92307692307693,48.07692307692307,Business
5243.0,629.0,4234.0,248.0,192.0,1042.0,11.0,26.0,119.0,0.024,132877640158.0,0.083,246.0,0.052,0.1,58.0,54.0,0.2,1.0,0.33,0.636,0.034,44000000.0,0.569,3338000000.0,2684000000.0,89.28814713896458,10.711852861035423,Personal
41103.0,5300.0,37.0,2452.0,321.0,42633.0,0.0,0.0,960.0,0.01,580345494748.0,0.072,1045.0,0.005,0.1,83.0,76.0,0.6,1.0,0.148,0.684,0.169,40263216.0,0.763,32656000000.0,7710000000.0,88.57832467728379,11.421675322716204,Personal
381.0,19.0,1.0,18.0,58.0,268.0,4.0,52.0,0.0,0.018,16330810304.0,0.037,32.0,0.014,0.0,75.0,68.0,0.0,1.0,0.269,0.669,0.063,19102000.0,0.184,388000000.0,383000000.0,95.25,4.75,Personal
30.0,8.0,5.0,4.0,7.0,9.0,9.0,4.0,0.0,0.04,12257299163.0,0.034,15.0,0.069,0.0,60.0,56.0,0.0,1.0,0.437,0.533,0.03,27729798.0,0.325,5000000.0,55000000.0,78.94736842105263,21.052631578947366,Business
54.0,3.0,0.0,8.0,2.0,46.0,0.0,0.0,0.0,0.023,892164364.0,0.087,167.0,0.03,0.0,71.0,65.0,0.1,1.0,0.306,0.637,0.057,466668.0,0.664,42000000.0,67000000.0,94.73684210526315,5.263157894736842,Personal
2615.0,400.0,66.0,38.0,26.0,398.0,2111.0,243.0,530.0,0.03,19325894913.0,0.049,59.0,0.02,0.0,75.0,72.0,0.0,1.0,0.408,0.558,0.034,16371208.0,0.519,1082000000.0,669000000.0,86.7330016583748,13.266998341625207,Personal
8536.0,973.0,80.0,585.0,6134.0,2242.0,117.0,349.0,70.0,0.015,122725247706.0,0.034,67.0,0.019,0.0,75.0,67.0,0.0,1.0,0.242,0.693,0.066,62343379.0,0.314,9935000000.0,3218000000.0,89.76758860027343,10.232411399726574,Personal
